[*] 25/04/2026 12:06:30 - Starting HardeningKitty
[*] 25/04/2026 12:06:30 - Getting machine information
[*] Hostname: WIN-1C36PIUNOJK
[*] Domain: WORKGROUP
[*] Domain role: StandaloneServer
[*] Install date: 04/16/2026 14:48:06
[*] Last Boot Time: 04/25/2026 09:53:35
[*] Uptime: 02:12:55.0286583
[*] Windows: Microsoft Windows Server 2019 Standard
[*] Windows edition: ServerStandard
[*] Windows version: 1809
[*] Windows build: 17763.1.amd64fre.rs5_release.180914-1434
[*] System-locale: fr-FR
[*] Powershell Version: 5.1
[*] 25/04/2026 12:06:35 - Language warning
[?] 25/04/2026 12:06:35 - HardeningKitty was developed for the system language 'en-US'. This system uses 'fr-FR' Language-dependent analyses can sometimes produce false results. Please create an issue if this occurs.
[*] 25/04/2026 12:06:35 - Getting user information
[*] Username: WIN-1C36PIUNOJK\ansible
[*] Is Admin: True
[*] 25/04/2026 12:06:35 - Starting Category Account Policies
ID 1.1.1, Length of password history maintained, 24, Account policy set
ID 1.1.2, Maximum password age, 60, Account policy set
ID 1.1.3, Minimum password age, 1, Account policy set
ID 1.1.4, Minimum password length, 14, Account policy set
ID 1.1.5, System Access\PasswordComplexity, 1, Configured security policy
ID 1.1.6, System Access\ClearTextPassword, 0, Failed to configure security policy
ID 1.2.1, Account lockout duration, 15, Account policy set
ID 1.2.2, Account lockout threshold, 10, Account policy set
ID 1.2.3, Reset account lockout counter, 15, Account policy set
[*] 25/04/2026 12:06:41 - Starting Category User Rights Assignment
ID 2.2.1, SeTrustedCredManAccessPrivilege, , Configured system user right assignment
ID 2.2.2, SeNetworkLogonRight, NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS;BUILTIN\Administrators;NT AUTHORITY\Authenticated Users, Configured system user right assignment
ID 2.2.3, SeNetworkLogonRight, BUILTIN\Administrators;NT AUTHORITY\Authenticated Users, Configured system user right assignment
ID 2.2.4, SeTcbPrivilege, , Configured system user right assignment
ID 2.2.5, SeMachineAccountPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.6, SeIncreaseQuotaPrivilege, BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE, Configured system user right assignment
ID 2.2.7, SeInteractiveLogonRight, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.8, SeRemoteInteractiveLogonRight, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.9, SeRemoteInteractiveLogonRight, BUILTIN\Remote Desktop Users;BUILTIN\Administrators, Configured system user right assignment
ID 2.2.10, SeBackupPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.11, SeSystemTimePrivilege, BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE, Configured system user right assignment
ID 2.2.12, SeTimeZonePrivilege, BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE, Configured system user right assignment
ID 2.2.13, SeCreatePagefilePrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.14, SeCreateTokenPrivilege, , Configured system user right assignment
ID 2.2.15, SeCreateGlobalPrivilege, NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE, Configured system user right assignment
ID 2.2.16, SeCreatePermanentPrivilege, , Configured system user right assignment
ID 2.2.17, SeCreateSymbolicLinkPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.18.1, SeCreateSymbolicLinkPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.18.2, SeCreateSymbolicLinkPrivilege, NT VIRTUAL MACHINE\Virtual Machines;BUILTIN\Administrators, Failed to configure system user right assignment
ID 2.2.19, SeDebugPrivilege, BUILTIN\Administrators, Configured system user right assignment
ID 2.2.20, SeDenyNetworkLogonRight, BUILTIN\Guests, Configured system user right assignment
ID 2.2.21, SeDenyNetworkLogonRight, BUILTIN\Guests;NT AUTHORITY\Local account and member of Administrators group, Configured system user right assignment
ID 2.2.22, SeDenyBatchLogonRight, BUILTIN\Guests, Configured system user right assignment
ID 2.2.23, SeDenyServiceLogonRight, BUILTIN\Guests, Configured system user right assignment
ID 2.2.24, SeDenyInteractiveLogonRight, BUILTIN\Guests, Configured system user right assignment
ID 2.2.25, SeDenyRemoteInteractiveLogonRight, BUILTIN\Guests, Configured system user right assignment
ID 2.2.26, SeDenyRemoteInteractiveLogonRight, BUILTIN\Guests;NT AUTHORITY\Local account, Configured system user right assignment
